BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'11.10.4'	'lipid metabolism.glycolipid synthesis.sulfolipid synthase'	'go:0046510'	'UDP-sulfoquinovose:DAG sulfoquinovosyltransferase activity'	
'12'	''	''	''	
'12.1'	''	''	''	
'12.1.1'	'N-metabolism.nitrate metabolism.NR'	'go:0008940'	'nitrate reductase activity'	
'12.1.1'	'N-metabolism.nitrate metabolism.NR'	'go:0009703'	'nitrate reductase (NADH) activity'	
'12.1.2'	'N-metabolism.nitrate metabolism.nitrite reductase'	'go:0050421'	'nitrite reductase (NO-forming) activity'	
'12.2'	''	''	''	
'12.2.1'	''	''	''	
'12.2.1.1'	'N-metabolism.ammonia metabolism.glutamate synthase.ferredoxin dependent'	'go:0016041'	'glutamate synthase (ferredoxin) activity'	
'12.2.1.2'	'N-metabolism.ammonia metabolism.glutamate synthase.NADH dependent'	'go:0016040'	'glutamate synthase (NADH) activity'	
'12.2.2'	'N-metabolism.ammonia metabolism.glutamine synthase'	'go:0004356'	'glutamate-ammonia ligase activity'	
'12.3'	''	''	''	
'12.3.1'	'N-metabolism.N-degradation.glutamate dehydrogenase'	'go:0004353'	'glutamate dehydrogenase [NAD(P)+] activity'	
'13'	'amino acid metabolism'	'go:0016597'	'amino acid binding'	
'13.1'	''	''	''	
'13.1.1'	''	''	''	
'13.1.1.1'	''	''	''	
'13.1.1.1.1'	'amino acid metabolism.synthesis.central amino acid metabolism.GABA.Glutamate decarboxylase'	'go:0004351'	'glutamate decarboxylase activity'	
'13.1.1.1.2'	'amino acid metabolism.synthesis.central amino acid metabolism.GABA.GABA transaminase'	'go:0034387'	'4-aminobutyrate:pyruvate transaminase activity'	
'13.1.1.1.2'	'amino acid metabolism.synthesis.central amino acid metabolism.GABA.GABA transaminase'	'go:0003867'	'4-aminobutyrate transaminase activity'	
'13.1.1.2'	''	''	''	
'13.1.1.2.1'	'amino acid metabolism.synthesis.central amino acid metabolism.aspartate.aspartate aminotransferase'	'go:0004069'	'L-aspartate:2-oxoglutarate aminotransferase activity'	
'13.1.1.3'	''	''	''	
'13.1.1.3.1'	'amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine aminotransferase'	'go:0004021'	'L-alanine:2-oxoglutarate aminotransferase activity'	
'13.1.1.3.11'	'amino acid metabolism.synthesis.central amino acid metabolism.alanine.alanine-glyoxylate aminotransferase'	'go:0008453'	'alanine-glyoxylate transaminase activity'	
'13.1.2'	''	''	''	
'13.1.2.2'	''	''	''	
'13.1.2.2.1'	'amino acid metabolism.synthesis.glutamate family.proline.delta 1-pyrroline-5-carboxylate synthetase'	'go:0017084'	'delta1-pyrroline-5-carboxylate synthetase activity'	
'13.1.2.3'	''	''	''	
'13.1.2.3.2'	'amino acid metabolism.synthesis.glutamate family.arginine.acetylglutamate kinase'	'go:0004358'	'glutamate N-acetyltransferase activity'	
'13.1.2.3.4'	'amino acid metabolism.synthesis.glutamate family.arginine.acetylornithine aminotransferase'	'go:0003992'	'N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity'	
'13.1.2.3.21'	'amino acid metabolism.synthesis.glutamate family.arginine.ornithine carbamoyltransferase'	'go:0016743'	'carboxyl- or carbamoyltransferase activity'	
'13.1.2.3.22'	'amino acid metabolism.synthesis.glutamate family.arginine.arginosuccinate synthase'	'go:0004055'	'argininosuccinate synthase activity'	
'13.1.2.3.23'	'amino acid metabolism.synthesis.glutamate family.arginine.argininosuccinate lyase'	'go:0004056'	'argininosuccinate lyase activity'	
'13.1.2.3.31'	'amino acid metabolism.synthesis.glutamate family.arginine.aspartate racemase'	'go:0016855'	'racemase and epimerase activity, acting on amino acids and derivatives'	
'13.1.3'	''	''	''	
'13.1.3.1'	''	''	''	
'13.1.3.1.1'	'amino acid metabolism.synthesis.aspartate family.asparagine.asparagine synthetase'	'go:0004066'	'asparagine synthase (glutamine-hydrolyzing) activity'	
'13.1.3.2'	''	''	''	
'13.1.3.2.1'	'amino acid metabolism.synthesis.aspartate family.threonine.threonine synthase'	'go:0004795'	'threonine synthase activity'	
'13.1.3.4'	''	''	''	
'13.1.3.4.1'	'amino acid metabolism.synthesis.aspartate family.methionine.cystathionine gamma-synthase'	'go:0003962'	'cystathionine gamma-synthase activity'	
'13.1.3.4.2'	'amino acid metabolism.synthesis.aspartate family.methionine.cystathionine beta-lyase'	'go:0004121'	'cystathionine beta-lyase activity'	
'13.1.3.4.3'	'amino acid metabolism.synthesis.aspartate family.methionine.methionine synthase'	'go:0008705'	'methionine synthase activity'	
'13.1.3.4.11'	'amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase'	'go:0004478'	'methionine adenosyltransferase activity'	
'13.1.3.4.12'	'amino acid metabolism.synthesis.aspartate family.methionine.homocysteine S-methyltransferase'	'go:0008898'	'homocysteine S-methyltransferase activity'	
'13.1.3.4.13'	'amino acid metabolism.synthesis.aspartate family.methionine.methionine S-methyltransferase'	'go:0008757'	'S-adenosylmethionine-dependent methyltransferase activity'	
'13.1.3.5'	''	''	''	
'13.1.3.5.1'	'amino acid metabolism.synthesis.aspartate family.lysine.dihydrodipicolinate synthase'	'go:0008840'	'dihydrodipicolinate synthase activity'	
'13.1.3.5.2'	'amino acid metabolism.synthesis.aspartate family.lysine.dihydrodipicolinate reductase'	'go:0008839'	'dihydrodipicolinate reductase activity'	
'13.1.3.5.3'	'amino acid metabolism.synthesis.aspartate family.lysine.LL-diaminopimelic acid aminotransferase'	'go:0010285'	'L,L-diaminopimelate aminotransferase activity'	
'13.1.3.5.4'	'amino acid metabolism.synthesis.aspartate family.lysine.diaminopimelate epimerase'	'go:0008837'	'diaminopimelate epimerase activity'	
'13.1.3.5.5'	'amino acid metabolism.synthesis.aspartate family.lysine.diaminopimelate decarboxylase'	'go:0008836'	'diaminopimelate decarboxylase activity'	
'13.1.3.6'	''	''	''	
'13.1.3.6.1'	''	''	''	
'13.1.3.6.1.1'	'amino acid metabolism.synthesis.aspartate family.misc.homoserine.aspartate kinase'	'go:0004072'	'aspartate kinase activity'	
'13.1.3.6.1.2'	'amino acid metabolism.synthesis.aspartate family.misc.homoserine.aspartate semialdehyde dehydrogenase'	'go:0004073'	'aspartate-semialdehyde dehydrogenase activity'	
'13.1.3.6.1.3'	'amino acid metabolism.synthesis.aspartate family.misc.homoserine.homoserine dehydrogenase'	'go:0004412'	'homoserine dehydrogenase activity'	
'13.1.3.6.1.4'	'amino acid metabolism.synthesis.aspartate family.misc.homoserine.homoserine kinase'	'go:0004413'	'homoserine kinase activity'	
'13.1.3.6.1.10'	'amino acid metabolism.synthesis.aspartate family.misc.homoserine.bifunctional aspartate kinase/homoserine dehydrogenase'	'go:0004072'	'aspartate kinase activity'	
'13.1.3.6.1.10'	'amino acid metabolism.synthesis.aspartate family.misc.homoserine.bifunctional aspartate kinase/homoserine dehydrogenase'	'go:0004412'	'homoserine dehydrogenase activity'	
'13.1.4'	''	''	''	
'13.1.4.1'	''	''	''	
'13.1.4.1.1'	'amino acid metabolism.synthesis.branched chain group.common.acetolactate synthase'	'go:0003984'	'acetolactate synthase activity'	
'13.1.4.1.2'	'amino acid metabolism.synthesis.branched chain group.common.ketol-acid reductoisomerase'	'go:0004455'	'ketol-acid reductoisomerase activity'	
'13.1.4.1.4'	'amino acid metabolism.synthesis.branched chain group.common.branched-chain amino acid aminotransferase'	'go:0004084'	'branched-chain-amino-acid transaminase activity'	
'13.1.4.4'	''	''	''	
'13.1.4.4.1'	'amino acid metabolism.synthesis.branched chain group.leucine specific.2-isopropylmalate synthase'	'go:0003852'	'2-isopropylmalate synthase activity'	
'13.1.4.4.3'	'amino acid metabolism.synthesis.branched chain group.leucine specific.3-isopropylmalate dehydrogenase'	'go:0003862'	'3-isopropylmalate dehydrogenase activity'	
'13.1.4.5'	''	''	''	
'13.1.4.5.1'	'amino acid metabolism.synthesis.branched chain group.isoleucine specific.threonine ammonia-lyase'	'go:0004794'	'L-threonine ammonia-lyase activity'	
'13.1.5'	''	''	''	
'13.1.5.1'	''	''	''	
'13.1.5.1.1'	'amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoglycerate dehydrogenase'	'go:0004617'	'phosphoglycerate dehydrogenase activity'	
'13.1.5.1.2'	'amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoserine aminotransferase'	'go:0004648'	'O-phospho-L-serine:2-oxoglutarate aminotransferase activity'	
'13.1.5.1.3'	'amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoserine phosphatase'	'go:0004647'	'phosphoserine phosphatase activity'	
'13.1.5.2'	''	''	''	
'13.1.5.2.41'	'amino acid metabolism.synthesis.serine-glycine-cysteine group.glycine.sarcosine oxidase'	'go:0008115'	'sarcosine oxidase activity'	
'13.1.5.3'	'amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine'	'go:0031071'	'cysteine desulfurase activity'	
'13.1.5.3.1'	'amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.OASTL'	'go:0004124'	'cysteine synthase activity'	
'13.1.5.3.2'	'amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.SAT'	'go:0009001'	'serine O-acetyltransferase activity'	
'13.1.6'	''	''	''	
'13.1.6.1'	''	''	''	
'13.1.6.1.1'	'amino acid metabolism.synthesis.aromatic aa.chorismate.3-deoxy-D-arabino-heptulosonate 7-phosphate synthase'	'go:0003849'	'3-deoxy-7-phosphoheptulonate synthase activity'	
'13.1.6.1.5'	'amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'	'go:0004765'	'shikimate kinase activity'	
'13.1.6.1.6'	'amino acid metabolism.synthesis.aromatic aa.chorismate.5-enolpyruvylshikimate-3-phosphate synthase'	'go:0003866'	'3-phosphoshikimate 1-carboxyvinyltransferase activity'	
'13.1.6.1.7'	'amino acid metabolism.synthesis.aromatic aa.chorismate.chorismate synthase'	'go:0004107'	'chorismate synthase activity'	
'13.1.6.1.10'	'amino acid metabolism.synthesis.aromatic aa.chorismate.dehydroquinate/shikimate dehydrogenase'	'go:0003855'	'3-dehydroquinate dehydratase activity'	
'13.1.6.1.10'	'amino acid metabolism.synthesis.aromatic aa.chorismate.dehydroquinate/shikimate dehydrogenase'	'go:0004764'	'shikimate 5-dehydrogenase activity'	
'13.1.6.2'	''	''	''	
'13.1.6.2.1'	'amino acid metabolism.synthesis.aromatic aa.phenylalanine and tyrosine.chorismate mutase'	'go:0004106'	'chorismate mutase activity'	
'13.1.6.3'	''	''	''	
'13.1.6.3.1'	'amino acid metabolism.synthesis.aromatic aa.phenylalanine.arogenate dehydratase / prephenate dehydratase'	'go:0047769'	'arogenate dehydratase activity'	
'13.1.6.3.1'	'amino acid metabolism.synthesis.aromatic aa.phenylalanine.arogenate dehydratase / prephenate dehydratase'	'go:0004664'	'prephenate dehydratase activity'	
'13.1.6.4'	''	''	''	
'13.1.6.4.1'	'amino acid metabolism.synthesis.aromatic aa.tyrosine.arogenate dehydrogenase & prephenate dehydrogenase'	'go:0004665'	'prephenate dehydrogenase (NADP+) activity'	
'13.1.6.4.2'	'amino acid metabolism.synthesis.aromatic aa.tyrosine.prephenate dehydrogenase'	'go:0004665'	'prephenate dehydrogenase (NADP+) activity'	
'13.1.6.5'	''	''	''	
'13.1.6.5.1'	'amino acid metabolism.synthesis.aromatic aa.tryptophan.anthranilate synthase'	'go:0004049'	'anthranilate synthase activity'	
'13.1.6.5.2'	'amino acid metabolism.synthesis.aromatic aa.tryptophan.anthranilate phosphoribosyltransferase'	'go:0004048'	'anthranilate phosphoribosyltransferase activity'	
'13.1.6.5.3'	'amino acid metabolism.synthesis.aromatic aa.tryptophan.phosphoribosyanthranilate isomerase'	'go:0004640'	'phosphoribosylanthranilate isomerase activity'	
'13.1.6.5.4'	'amino acid metabolism.synthesis.aromatic aa.tryptophan.indole-3-glycerol phosphate synthase'	'go:0004425'	'indole-3-glycerol-phosphate synthase activity'	
'13.1.6.5.5'	'amino acid metabolism.synthesis.aromatic aa.tryptophan.tryptophan synthase'	'go:0004834'	'tryptophan synthase activity'	
'13.1.7'	''	''	''	
'13.1.7.1'	'amino acid metabolism.synthesis.histidine.ATP phosphoribosyl transferase'	'go:0003879'	'ATP phosphoribosyltransferase activity'	
'13.1.7.2'	'amino acid metabolism.synthesis.histidine.phosphoribosyl-ATP diphosphatase'	'go:0004636'	'phosphoribosyl-ATP diphosphatase activity'	
'13.1.7.4'	'amino acid metabolism.synthesis.histidine.N'-5'-phosphoribosyl-formimino-5-aminoimidazole-4-carboxamide ribonucleotide isomerase'	'go:0003949'	'1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity'	
'13.1.7.5'	'amino acid metabolism.synthesis.histidine.imidazoleglycerol-phosphate dehydratase'	'go:0004424'	'imidazoleglycerol-phosphate dehydratase activity'	
'13.1.7.6'	'amino acid metabolism.synthesis.histidine.histidinol-phosphate aminotransferase'	'go:0004400'	'histidinol-phosphate transaminase activity'	
'13.1.7.8'	'amino acid metabolism.synthesis.histidine.histidinol dehydrogenase'	'go:0004399'	'histidinol dehydrogenase activity'	
'13.1.7.10'	'amino acid metabolism.synthesis.histidine.Imidazole glycerol phosphate synthase'	'go:0000107'	'imidazoleglycerol-phosphate synthase activity'	
'13.2'	''	''	''	
'13.2.2'	''	''	''	
'13.2.2.3'	'amino acid metabolism.degradation.glutamate family.arginine'	'go:0004053'	'arginase activity'	
'13.2.3'	''	''	''	
'13.2.3.1'	''	''	''	
'13.2.3.1.1'	'amino acid metabolism.degradation.aspartate family.asparagine.L-asparaginase'	'go:0004067'	'asparaginase activity'	
'13.2.3.4'	''	''	''	
'13.2.3.4.1'	'amino acid metabolism.degradation.aspartate family.methionine.methionine gamma-lyase'	'go:0018826'	'methionine gamma-lyase activity'	
'13.2.4'	''	''	''	
'13.2.4.5'	'amino acid metabolism.degradation.branched chain group.isoleucine'	'go:0003988'	'acetyl-CoA C-acyltransferase activity'	
'13.99'	'amino acid metabolism.misc'	'go:0016597'	'amino acid binding'	
'14'	''	''	''	
'14.1'	'S-assimilation.APS'	'go:0004781'	'sulfate adenylyltransferase (ATP) activity'	
'14.2'	'S-assimilation.APR'	'go:0009973'	'adenylyl-sulfate reductase activity'	
'14.3'	'S-assimilation.sulfite redox'	'go:0016002'	'sulfite reductase activity'	
'14.3'	'S-assimilation.sulfite redox'	'go:0050311'	'sulfite reductase (ferredoxin) activity'	
'14.5'	'S-assimilation.sulfite oxidase'	'go:0008482'	'sulfite oxidase activity'	
'14.15'	'S-assimilation.AKN'	'go:0004020'	'adenylylsulfate kinase activity'	
'15'	'metal handling'	'go:0046872'	'metal ion binding'	
'15.1'	'metal handling.acquisition'	'go:0000293'	'ferric-chelate reductase activity'	
'15.2'	'metal handling.binding, chelation and storage'	'go:0046872'	'metal ion binding'	
'15.3'	'metal handling.regulation'	'go:0046872'	'metal ion binding'	
'16'	''	''	''	
'16.1'	''	''	''	
'16.1.1'	''	''	''	
'16.1.1.1'	'secondary metabolism.isoprenoids.non-mevalonate pathway.DXS'	'go:0008661'	'1-deoxy-D-xylulose-5-phosphate synthase activity'	
'16.1.1.2'	'secondary metabolism.isoprenoids.non-mevalonate pathway.DXR'	'go:0030604'	'1-deoxy-D-xylulose-5-phosphate reductoisomerase activity'	
'16.1.1.3'	'secondary metabolism.isoprenoids.non-mevalonate pathway.CMS'	'go:0050518'	'2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity'	
'16.1.1.4'	'secondary metabolism.isoprenoids.non-mevalonate pathway.CMK'	'go:0050515'	'4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity'	
'16.1.1.5'	'secondary metabolism.isoprenoids.non-mevalonate pathway.MCS'	'go:0008685'	'2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity'	
'16.1.1.6'	'secondary metabolism.isoprenoids.non-mevalonate pathway.HDS'	'go:0046429'	'4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity'	
'16.1.1.7'	'secondary metabolism.isoprenoids.non-mevalonate pathway.HDR'	'go:0051745'	'4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity'	
'16.1.1.10'	'secondary metabolism.isoprenoids.non-mevalonate pathway.geranylgeranyl pyrophosphate synthase'	'go:0004311'	'farnesyltranstransferase activity'	
'16.1.2'	''	''	''	
'16.1.2.1'	'secondary metabolism.isoprenoids.mevalonate pathway.acetyl-CoA C-acyltransferase'	'go:0003985'	'acetyl-CoA C-acetyltransferase activity'	
'16.1.2.2'	'secondary metabolism.isoprenoids.mevalonate pathway.HMG-CoA synthase'	'go:0004421'	'hydroxymethylglutaryl-CoA synthase activity'	
'16.1.2.3'	'secondary metabolism.isoprenoids.mevalonate pathway.HMG-CoA reductase'	'go:0042282'	'hydroxymethylglutaryl-CoA reductase activity'	
'16.1.2.4'	'secondary metabolism.isoprenoids.mevalonate pathway.mevalonate kinase'	'go:0004496'	'mevalonate kinase activity'	
'16.1.2.6'	'secondary metabolism.isoprenoids.mevalonate pathway.mevalonate diphosphate decarboxylase'	'go:0004163'	'diphosphomevalonate decarboxylase activity'	
'16.1.2.7'	'secondary metabolism.isoprenoids.mevalonate pathway.isopentenyl pyrophosphate:dimethyllallyl pyrophosphate isomerase'	'go:0004452'	'isopentenyl-diphosphate delta-isomerase activity'	
'16.1.2.8'	'secondary metabolism.isoprenoids.mevalonate pathway.geranyl diphosphate synthase'	'go:0004161'	'dimethylallyltranstransferase activity'	
'16.1.2.9'	'secondary metabolism.isoprenoids.mevalonate pathway.farnesyl pyrophosphate synthetase'	'go:0004337'	'geranyltranstransferase activity'	
'16.1.2.9'	'secondary metabolism.isoprenoids.mevalonate pathway.farnesyl pyrophosphate synthetase'	'go:0004161'	'dimethylallyltranstransferase activity'	
'16.1.3'	''	''	''	
'16.1.3.1'	'secondary metabolism.isoprenoids.tocopherol biosynthesis.hydroxyphenylpyruvate dioxygenase'	'go:0003868'	'4-hydroxyphenylpyruvate dioxygenase activity'	
'16.1.3.2'	'secondary metabolism.isoprenoids.tocopherol biosynthesis.homogentisate phytyltransferase'	'go:0010176'	'homogentisate phytyltransferase activity'	
'16.1.3.3'	'secondary metabolism.isoprenoids.tocopherol biosynthesis.MPBQ/MSBQ methyltransferase'	'go:0051741'	'2-methyl-6-phytyl-1,4-benzoquinone methyltransferase activity'	
'16.1.3.4'	'secondary metabolism.isoprenoids.tocopherol biosynthesis.tocopherol cyclase'	'go:0009976'	'tocopherol cyclase activity'	
'16.1.3.5'	'secondary metabolism.isoprenoids.tocopherol biosynthesis.tocopherol methyltransferase'	'go:0050342'	'tocopherol O-methyltransferase activity'	
'16.1.4'	''	''	''	
'16.1.4.1'	'secondary metabolism.isoprenoids.carotenoids.phytoene synthase'	'go:0046905'	'phytoene synthase activity'	
'16.1.4.2'	'secondary metabolism.isoprenoids.carotenoids.phytoene dehydrogenase'	'go:0016166'	'phytoene dehydrogenase activity'	
'16.1.4.3'	'secondary metabolism.isoprenoids.carotenoids.zeta-carotene desaturase'	'go:0016719'	'carotene 7,8-desaturase activity'	
'16.1.4.4'	'secondary metabolism.isoprenoids.carotenoids.lycopene epsilon cyclase'	'go:0045435'	'lycopene epsilon cyclase activity'	
'16.1.4.5'	'secondary metabolism.isoprenoids.carotenoids.lycopene beta cyclase'	'go:0045436'	'lycopene beta cyclase activity'	
'16.1.4.10'	'secondary metabolism.isoprenoids.carotenoids.carotenoid cleavage dioxygenase'	'go:0045549'	'9-cis-epoxycarotenoid dioxygenase activity'	
'16.1.4.21'	'secondary metabolism.isoprenoids.carotenoids.violaxanthin de-epoxidase'	'go:0046422'	'violaxanthin de-epoxidase activity'	
'16.2'	''	''	''	
'16.2.1'	''	''	''	
'16.2.1.1'	'secondary metabolism.phenylpropanoids.lignin biosynthesis.PAL'	'go:0045548'	'phenylalanine ammonia-lyase activity'	
'16.2.1.2'	'secondary metabolism.phenylpropanoids.lignin biosynthesis.C4H'	'go:0016710'	'trans-cinnamate 4-monooxygenase activity'	
'16.2.1.3'	'secondary metabolism.phenylpropanoids.lignin biosynthesis.4CL'	'go:0016207'	'4-coumarate-CoA ligase activity'	
'16.2.1.4'	'secondary metabolism.phenylpropanoids.lignin biosynthesis.HCT'	'go:0047172'	'shikimate O-hydroxycinnamoyltransferase activity'	
'16.2.1.4'	'secondary metabolism.phenylpropanoids.lignin biosynthesis.HCT'	'go:0047205'	'quinate O-hydroxycinnamoyltransferase activity'	
'16.2.1.6'	'secondary metabolism.phenylpropanoids.lignin biosynthesis.CCoAOMT'	'go:0042409'	'caffeoyl-CoA O-methyltransferase activity'	
'16.2.1.7'	'secondary metabolism.phenylpropanoids.lignin biosynthesis.CCR1'	'go:0016621'	'cinnamoyl-CoA reductase activity'	
'16.2.1.8'	'secondary metabolism.phenylpropanoids.lignin biosynthesis.F5H'	'go:0046424'	'ferulate 5-hydroxylase activity'	
'16.2.1.9'	'secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT'	'go:0047763'	'caffeate O-methyltransferase activity'	
'16.2.1.10'	'secondary metabolism.phenylpropanoids.lignin biosynthesis.CAD'	'go:0045551'	'cinnamyl-alcohol dehydrogenase activity'	
'16.4'	''	''	''	
'16.4.2'	''	''	''	
'16.4.2.1'	'secondary metabolism.N misc.betaine.betaine-aldehyde dehydrogenase'	'go:0004028'	'3-chloroallyl aldehyde dehydrogenase activity'	
'16.5'	''	''	''	
'16.5.1'	''	''	''	
'16.5.1.1'	'secondary metabolism.sulfur-containing.glucosinolates.methylthioalkylmalate synthase'	'go:0010177'	'methylthioalkylmalate synthase activity'	
'16.5.99'	''	''	''	
'16.5.99.1'	'secondary metabolism.sulfur-containing.misc.alliinase'	'go:0016846'	'carbon-sulfur lyase activity'	
'16.8'	''	''	''	
'16.8.1'	''	''	''	
'16.8.1.1'	'secondary metabolism.flavonoids.anthocyanins.leucocyanidin oxygenase'	'go:0050589'	'leucocyanidin oxygenase activity'	
'16.8.1.12'	'secondary metabolism.flavonoids.anthocyanins.anthocyanidin 3-O-glucosyltransferase'	'go:0016757'	'transferase activity, transferring glycosyl groups'	
'16.8.1.21'	'secondary metabolism.flavonoids.anthocyanins.anthocyanin 5-aromatic acyltransferase'	'go:0016747'	'transferase activity, transferring acyl groups other than amino-acyl groups'	
'16.8.2'	'secondary metabolism.flavonoids.chalcones'	'go:0045430'	'chalcone isomerase activity'	
'16.8.2.1'	'secondary metabolism.flavonoids.chalcones.naringenin-chalcone synthase'	'go:0016210'	'naringenin-chalcone synthase activity'	
'16.8.2.2'	'secondary metabolism.flavonoids.chalcones.chalcone isomerase'	'go:0045430'	'chalcone isomerase activity'	
'16.8.3'	''	''	''	
'16.8.3.1'	'secondary metabolism.flavonoids.dihydroflavonols.dihydrokaempferol 4-reductase'	'go:0045552'	'dihydrokaempferol 4-reductase activity'	
'16.8.3.2'	'secondary metabolism.flavonoids.dihydroflavonols.flavanone 3-dioxygenase'	'go:0045486'	'naringenin 3-dioxygenase activity'	
'16.8.3.3'	'secondary metabolism.flavonoids.dihydroflavonols.flavonoid 3'-monooxygenase'	'go:0016711'	'flavonoid 3'-monooxygenase activity'	
'16.8.4'	'secondary metabolism.flavonoids.flavonols'	'go:0045431'	'flavonol synthase activity'	
'16.8.4.1'	'secondary metabolism.flavonoids.flavonols.dihydrokaempferol 4-reductase'	'go:0045551'	'cinnamyl-alcohol dehydrogenase activity'	
'17'	''	''	''	
'17.1'	''	''	''	
'17.1.1'	''	''	''	
'17.1.1.1'	''	''	''	
'17.1.1.1.1'	'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.zeaxanthin epoxidase'	'go:0009540'	'zeaxanthin epoxidase activity'	
'17.1.1.1.10'	'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase'	'go:0045549'	'9-cis-epoxycarotenoid dioxygenase activity'	
'17.1.1.1.11'	'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.short chain alcohol dehydrogenmase (ABA2)'	'go:0004022'	'alcohol dehydrogenase (NAD) activity'	
'17.1.1.1.12'	'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.abscisic aldehyde oxidase'	'go:0010293'	'abscisic aldehyde oxidase activity'	
'17.1.1.2'	''	''	''	
'17.1.1.2.1'	'hormone metabolism.abscisic acid.synthesis-degradation.degradation. 8-hydroxylase'	'go:0010295'	'(+)-abscisic acid 8'-hydroxylase activity'	
'17.3'	''	''	''	
'17.3.1'	''	''	''	
'17.3.1.1'	''	''	''	
'17.3.1.1.2'	'hormone metabolism.brassinosteroid.synthesis-degradation.BRs.DWF4'	'go:0010012'	'steroid 22-alpha hydroxylase activity'	
'17.3.1.2'	''	''	''	
'17.3.1.2.2'	'hormone metabolism.brassinosteroid.synthesis-degradation.sterols.SMT'	'go:0003838'	'sterol 24-C-methyltransferase activity'	
'17.3.1.2.3'	'hormone metabolism.brassinosteroid.synthesis-degradation.sterols.CYP51'	'go:0008398'	'sterol 14-demethylase activity'	
'17.3.1.2.4'	'hormone metabolism.brassinosteroid.synthesis-degradation.sterols.FACKEL'	'go:0050613'	'delta14-sterol reductase activity'	
'17.3.1.2.5'	'hormone metabolism.brassinosteroid.synthesis-degradation.sterols.HYD1'	'go:0000247'	'C-8 sterol isomerase activity'	
'17.3.1.2.6'	'hormone metabolism.brassinosteroid.synthesis-degradation.sterols.DWF7'	'go:0000248'	'C-5 sterol desaturase activity'	
'17.3.1.2.7'	'hormone metabolism.brassinosteroid.synthesis-degradation.sterols.DWF5'	'go:0009918'	'sterol delta7 reductase activity'	
'17.3.2'	''	''	''	
'17.3.2.1'	'hormone metabolism.brassinosteroid.signal transduction.BRI'	'go:0004675'	'transmembrane receptor protein serine/threonine kinase activity'	
'17.4'	''	''	''	
'17.4.1'	'hormone metabolism.cytokinin.synthesis-degradation'	'go:0019139'	'cytokinin dehydrogenase activity'	
'17.4.2'	'hormone metabolism.cytokinin.signal transduction'	'go:0009884'	'cytokinin receptor activity'	
'17.5'	''	''	''	
'17.5.1'	''	''	''	
'17.5.1.1'	'hormone metabolism.ethylene.synthesis-degradation.1-aminocyclopropane-1-carboxylate synthase'	'go:0016847'	'1-aminocyclopropane-1-carboxylate synthase activity'	
'17.5.1.2'	'hormone metabolism.ethylene.synthesis-degradation.1-aminocyclopropane-1-carboxylate oxidase'	'go:0009815'	'1-aminocyclopropane-1-carboxylate oxidase activity'	
'17.6'	''	''	''	
'17.6.1'	'hormone metabolism.gibberelin.synthesis-degradation'	'go:0045543'	'gibberellin 2-beta-dioxygenase activity'	
'17.6.1.1'	'hormone metabolism.gibberelin.synthesis-degradation.copalyl diphosphate synthase'	'go:0009905'	'ent-copalyl diphosphate synthase activity'	
'17.6.1.2'	'hormone metabolism.gibberelin.synthesis-degradation.ent-kaurene synthase'	'go:0009899'	'ent-kaurene synthase activity'	
'17.6.1.3'	'hormone metabolism.gibberelin.synthesis-degradation.ent-kaurene oxidase'	'go:0010241'	'ent-kaurene oxidase activity'	
'17.6.1.4'	'hormone metabolism.gibberelin.synthesis-degradation.ent-kaurenoic acid hydroxylase/oxygenase'	'go:0051777'	'ent-kaurenoate oxidase activity'	
'17.6.1.11'	'hormone metabolism.gibberelin.synthesis-degradation.GA20 oxidase'	'go:0045544'	'gibberellin 20-oxidase activity'	
'17.6.1.12'	'hormone metabolism.gibberelin.synthesis-degradation.GA3 oxidase'	'go:0016707'	'gibberellin 3-beta-dioxygenase activity'	
'17.6.1.13'	'hormone metabolism.gibberelin.synthesis-degradation.GA2 oxidase'	'go:0045543'	'gibberellin 2-beta-dioxygenase activity'	
'17.7'	''	''	''	
